IMO/LR/IHS No.;Name of Ship;Flag;MMSI;Callsign;Status;GT;Ship Type
8974075;CHASOVOY;Russia;273441300;UCOF;In Service/Commission;313;Fire Fighting Vessel
9544619;CHAYKA;Russia;273352710;UBXG7;In Service/Commission;748;Yacht
9801926;CHERNAYA BARABUL'KA;Russia;273398160;UBSP4;In Service/Commission;299;Tug
9077020;CHERNIGOV;Russia;273290400;UABK;In Service/Commission;745;Fishing Vessel
8933679;CHERNOMORETS-10;Russia;273454820;UCBZ;In Service/Commission;883;Crane Vessel
8933708;CHERNOMORETS-18;Russia;273351930;UBRH8;Laid-Up;764;Crane Vessel
8933629;CHERNOMORETS-2;Russia;273448330;;In Service/Commission;854;Crane Vessel
8933710;CHERNOMORETS-24;Russia;273439270;;In Service/Commission;847;Crane Vessel
8933722;CHERNOMORETS-26;Russia;273352440;UBWH2;In Service/Commission;782;Crane Vessel
8227587;CHERNOMORETS-30;Russia;273350290;;In Service/Commission;782;Crane Vessel
8727472;CHERNOMORETS-35;Russia;273435170;;In Service/Commission;782;Crane Vessel
8891089;CHERNOMORETS-8;Russia;273323800;;In Service/Commission;765;Crane Vessel
8842985;CHERNYAEVO;Russia;273877400;UEJA;In Service/Commission;448;Fishing Vessel
8423208;CHISTYY;Russia;273842110;UCXI;In Service/Commission;460;Fishing Vessel
9016337;CHIYO MARU 27;Russia;273381150;UBIO2;In Service/Commission;210;Fishing Vessel
8730455;CHIZHOVKA;Russia;273912200;UIGQ;In Service/Commission;745;Hopper, Motor
9009841;CRYSTAL;Russia;273340120;UBVE3;In Service/Commission;740;Chemical Tanker
9814222;DAGOMYS;Russia;273218020;UBDT5;In Service/Commission;163;Tug
9920590;DALIAN OCEAN FISHERY LYSY2019Z-02;Russia;;;Keel Laid;797;Fishing Vessel
7740477;DALNIYE ZELENTSY;Russia;273439220;UHZH;In Service/Commission;774;Research Survey Vessel
9944895;DAMEN GORINCHEM 512626;Russia;;;On Order/Not Commenced;299;Tug
9944900;DAMEN GORINCHEM 512627;Russia;;;On Order/Not Commenced;299;Tug
9944912;DAMEN GORINCHEM 512628;Russia;;;On Order/Not Commenced;299;Tug
9944924;DAMEN GORINCHEM 512629;Russia;;;On Order/Not Commenced;299;Tug
9945394;DAMEN GORINCHEM 512630;Russia;;;On Order/Not Commenced;299;Tug
9945409;DAMEN GORINCHEM 512631;Russia;;;On Order/Not Commenced;299;Tug
9950739;DAMEN GORINCHEM 512632;Russia;;;On Order/Not Commenced;299;Tug
9950741;DAMEN GORINCHEM 512633;Russia;;;On Order/Not Commenced;299;Tug
9950753;DAMEN GORINCHEM 512634;Russia;;;On Order/Not Commenced;299;Tug
9923774;DAMEN GORINCHEM 512803;Russia;;;On Order/Not Commenced;499;Tug
9740263;DAMEN RIVERSTAR 6;Russia;;;In Service/Commission;952;Deck Cargo Pontoon, non propelled
7418634;DANILOVO;Russia;273569200;UGFY;In Service/Commission;179;Fishing Vessel
8722238;DARIA;Russia;273391960;;In Service/Commission;117;Fishing Vessel
9828510;DE-KASTRI;Russia;273415660;UBTQ6;In Service/Commission;213;Pusher Tug
9819131;DELOVOY-1;Russia;273398760;UGIZ;In Service/Commission;155;Tug
9819143;DELOVOY-2;Russia;273396760;UCMS;In Service/Commission;155;Tug
9819155;DELOVOY-3;Russia;273397760;UCEC;In Service/Commission;155;Tug
9823168;DELOVOY-4;Russia;273432420;UBIR4;In Service/Commission;191;Tug
9819167;DELOVOY-5;Russia;273434420;UBIR5;In Service/Commission;191;Tug
9835240;DELOVOY-6;Russia;;UBGV9;In Service/Commission;191;Tug
8928753;DELTA;Russia;;;In Service/Commission;205;Pollution Control Vessel
8227848;DEMIDOVO;Russia;273451340;UGQX;In Service/Commission;356;Fishing Vessel
9038464;DEMIS;Russia;273374020;UBJM4;In Service/Commission;452;Fishing Vessel
8947565;DEMOKRAT LEONOV;Russia;273397550;UBYP9;In Service/Commission;683;Fishing Vessel
8928715;DENEB;Russia;273312560;UESI;In Service/Commission;190;Fishing Vessel
9562178;DENIS VETCHINOV;Russia;273353500;UBJG3;Laid-Up;827;Passenger/Ro-Ro Ship (Vehicles)
8929018;DESNA;Russia;273424900;UDHC;In Service/Commission;739;Anchor Handling Tug Supply
8929290;DIABAZ;Russia;273311760;UCGN;In Service/Commission;106;Passenger Ship
8138671;DIABAZ;Russia;273429100;UCIM;In Service/Commission;774;Research Survey Vessel
7909449;DIKTIS;Russia;273315480;UBFU;In Service/Commission;748;Fishing Vessel
9047922;DINAR;Russia;273211530;UBRT8;In Service/Commission;892;Fishing Vessel
7643124;DIOMEDES;Russia;273848010;UEMO;In Service/Commission;825;Fishing Vessel
9376830;DIONISO;Russia;273318260;UFIA;In Service/Commission;411;Pusher Tug
8504583;DIONYS;Russia;273444660;UCUS;In Service/Commission;880;Fishing Vessel
9605683;DIR;Russia;273353110;UBTG9;In Service/Commission;494;Tug
9785433;DIRAX;Russia;273380040;UAVD;In Service/Commission;396;Tug
9910870;DISPATCHER;Russia;273217190;UBBV4;In Service/Commission;114;Passenger Ship
9076636;DISTINKT;Russia;273559500;UFEG;In Service/Commission;894;Fishing Vessel
7524471;DIVNYY;Russia;273439830;UEMR;In Service/Commission;172;Fishing Vessel
8889268;DMITRIY PESKOV;Russia;273897200;UCHT;In Service/Commission;465;Fishing Vessel
8730065;DMITRIY SHEVCHENKO;Russia;273826700;UDYL;In Service/Commission;759;Fishing Vessel
9616591;DMITRY SIROTKIN;Russia;273356720;UBFH8;In Service/Commission;454;Buoy Tender
7426992;DOBRINO;Russia;273566210;UGHY;In Service/Commission;172;Fishing Vessel
8730077;DOBRYNYA;Russia;273449240;UBOO;In Service/Commission;182;Tug
9584968;DOBRYNYA;Russia;273351080;UBSG4;In Service/Commission;277;Tug
9556703;DOBRYNYA;Russia;;;In Service/Commission;198;Tug
8897643;DOKOVETS;Russia;273379330;UBRM4;In Service/Commission;111;Tug
7734179;DOLGOSHCHELYE;Russia;273449630;UBZC;In Service/Commission;315;Fishing Vessel
8035192;DOLPHIN;Russia;273431480;UGWP;In Service/Commission;356;Fishing Vessel
8864658;DOMEYA;Russia;273454650;UBIS5;In Service/Commission;195;Fishing Vessel
8859718;DON;Russia;273445880;;In Service/Commission;539;Water Tanker
7630098;DONETS;Russia;273826910;UHWC;In Service/Commission;172;Fishing Vessel
9795696;DOOB;Russia;273211220;UBET6;In Service/Commission;155;Tug
8620818;DORIDA;Russia;273418740;UBFQ9;Laid-Up;237;Fishing Vessel
9259288;DOZORNYY;Russia;273428950;UHAJ;In Service/Commission;802;Fishery Patrol Vessel
8730089;DRUZHBA;Russia;273895510;UHSV;In Service/Commission;683;Fish Carrier
8033261;DRUZHNYY;Russia;273858200;UFXM;In Service/Commission;172;Fishing Vessel
8905608;DUBNA;Russia;273439430;UBRR4;In Service/Commission;698;Fishing Vessel
8899835;DUBROVNIK;Russia;273453760;UHLJ;In Service/Commission;270;Tug
7524483;DUBROVO;Russia;273430930;UEMS;In Service/Commission;172;Fishing Vessel
9079054;DUKAT;Russia;273351500;UBJG2;In Service/Commission;631;Fishing Vessel
7507825;DUNAEVO;Russia;273897410;UHQM;In Service/Commission;179;Fishing Vessel
9584970;DUNAI;Russia;273357510;UBWG4;In Service/Commission;277;Tug
7819905;DUNAY;Russia;273459410;UHJW;In Service/Commission;739;Offshore Tug/Supply Ship
8899782;DVINA;Russia;273152800;UGJD;In Service/Commission;893;Bunkering Tanker (Oil)
8729767;EAST FISH-1;Russia;273821400;UIEV;In Service/Commission;190;Fish Carrier
8109814;EAST RIVER;Russia;273396020;UFZE;In Service/Commission;682;Cable Layer
9776468;ECOLOG;Russia;273382920;UBCO6;In Service/Commission;454;Pollution Control Vessel
8015556;ECOPACIFIC;Russia;273844100;UBRX;In Service/Commission;741;Fishing Vessel
8630227;EISA;Russia;;;In Service/Commission;159;Tanker (unspecified)
8897409;EKARMA-2;Russia;273892100;UAHR;In Service/Commission;876;Fishing Vessel
8897411;EKARMA-3;Russia;273897300;UGAE;In Service/Commission;838;Fishing Vessel
8921418;EKATERINA;Russia;273318040;UANZ;Laid-Up;571;Fishing Vessel
8935237;EKOPATRUL-2;Russia;;;Laid-Up;132;Patrol Vessel
8619273;ELECTRON;Russia;273381930;UBUC;In Service/Commission;990;Fishing Vessel
9804057;ELM;Russia;273418480;UBXQ5;In Service/Commission;293;Tug
9869071;EMAR;Russia;273212860;UBOU3;In Service/Commission;299;Tug
8608523;ENDEAVOUR;Russia;273356070;UBSG2;In Service/Commission;891;Fishing Vessel
8736435;ENISEY;Russia;273422640;UGZU;In Service/Commission;959;Pilot Vessel
9262479;ENISEY;Russia;273291480;UBSW8;In Service/Commission;741;Fishing Vessel
9376842;ERACLE;Russia;273318360;UDUV;In Service/Commission;411;Pusher Tug
8727800;ERIDAN;Russia;;;In Service/Commission;182;Tug
8897631;ERMAK;Russia;;;In Service/Commission;254;Tug
9887281;EVGENIY KHUDIK;Russia;273212410;UBAT6;In Service/Commission;258;Fishing Vessel
9360063;EVGENIY KOCHESHKOV;Russia;273315660;UIQA;In Service/Commission;198;Tug
9076595;EVGENIY ZOTOV;Russia;273817200;UDDF;In Service/Commission;683;Fish Carrier
9698408;EXPERT 1;Russia;273369490;UBEM6;In Service/Commission;958;Crane Vessel
9698422;EXPERT 2;Russia;273261590;UBEM8;In Service/Commission;958;Crane Vessel
8723713;FARN;Russia;273423700;UCVH;In Service/Commission;359;Fishing Vessel
9982770;FAVOR;Russia;;;Keel Laid;299;Tug
9344590;FAVORIT;Russia;;;In Service/Commission;188;Tug
8139089;FINVAL;Russia;273242000;UALZ;In Service/Commission;837;Fishing Vessel
8933241;FIOLENT;Russia;273537210;UFKH;In Service/Commission;104;Fishing Vessel
8936530;FLAGMAN;Russia;273894710;UILW;In Service/Commission;812;Fishing Vessel
8982773;FLAGMAN;Russia;273440190;UIAQ;In Service/Commission;188;Tug
8135215;FLAGMAN;Russia;273443820;UGZH;In Service/Commission;325;Alcohol Tanker
9119880;FLORIN;Russia;273397170;UBUO8;In Service/Commission;799;Fishery Patrol Vessel
9062178;FORKIS;Russia;273348470;UBUL3;In Service/Commission;378;Fishing Vessel
9076612;FORTUNA;Russia;273431530;UECT;In Service/Commission;359;Fishing Vessel
8833910;FORTUNA;Russia;273428500;UFHH;In Service/Commission;117;Fishing Vessel
8621161;FOTON;Russia;273441920;UFCH;In Service/Commission;239;Fishing Vessel
8847492;FREEDOM;Russia;273451060;UBIS6;In Service/Commission;179;Tug
9243708;FREGAT;Russia;273299180;UBRW5;In Service/Commission;664;Fishing Vessel
9033359;FREYR;Russia;273448760;UFKP;In Service/Commission;737;Chemical Tanker
9572226;GALATEA;Russia;273397960;UBDQ2;In Service/Commission;644;Yacht
8826541;GALATIS;Russia;273437080;UENY;In Service/Commission;889;Fishing Vessel
8858867;GALMAEGI;Russia;273314220;UHCI;In Service/Commission;662;Fishing Vessel
8881618;GANDVIK;Russia;273316220;UHML;In Service/Commission;182;Tug
8688925;GAUR;Russia;273360110;UAVE8;In Service/Commission;841;Pusher Tug
8227616;GAYDUK;Russia;273437660;UEPC;In Service/Commission;356;Fishing Vessel
9081461;GEFEST;Russia;273847410;UDBN;In Service/Commission;509;Fishing Vessel
8889256;GELIOS;Russia;273414910;UEUA;In Service/Commission;394;General Cargo Ship
9899923;GELIY;Russia;273292170;UBLW6;In Service/Commission;185;Tug
8721935;GEMMA;Russia;273514800;UCFT;In Service/Commission;909;Fishing Vessel
9529425;GENERAL RAEVSKY;Russia;273370820;;In Service/Commission;99;Tug
8840561;GENYO MARU;Russia;273354380;UBBJ7;In Service/Commission;184;Fishing Vessel
8138798;GEOFIZIK;Russia;273453700;UAMO;In Service/Commission;742;Research Survey Vessel
4751994;GEORGY ZIMA;Russia;273420990;;In Service/Commission;150;Research Survey Vessel
9125528;GEPARD;Russia;273413270;UBUQ4;In Service/Commission;492;Fishing Vessel
8864361;GERDA;Russia;273213570;UBSU6;In Service/Commission;187;Fishing Vessel
8920945;GERMES;Russia;273359640;UBAI6;In Service/Commission;220;Tug
8927826;GIDROBIOLOG;Russia;273444030;UFVC;In Service/Commission;197;Research Survey Vessel
9805207;GIDROGRAF RAVDIN;Russia;273384740;UBGO9;Keel Laid;338;Buoy Tender
8859744;GIPANIS;Russia;273445090;UGSR;In Service/Commission;748;Research Survey Vessel
7731866;GIPOTEZA;Russia;273447110;UGXW;In Service/Commission;740;Fishing Vessel
7814565;GLACIER ENTERPRISE;Russia;273444750;UENZ;In Service/Commission;698;Fishing Vessel
8648274;GLORIA;Russia;273358840;UBCI7;In Service/Commission;826;Fishing Vessel
8960713;GLORIA;Russia;273411240;UBDQ8;In Service/Commission;118;Fishing Vessel
8859756;GORGIPPIYA;Russia;273150800;UGMA;In Service/Commission;244;Passenger Ship
8936554;GRADIENT-1;Russia;273427730;UBSA;In Service/Commission;117;Fishing Vessel
8936566;GRADIENT-2;Russia;273428730;UCCL;In Service/Commission;117;Fishing Vessel
9101259;GRAND;Russia;273359650;UBHI3;In Service/Commission;560;Fishing Vessel
8858518;GRANITNYY;Russia;;UBUZ;In Service/Commission;117;Fishing Vessel
8138619;GRIF;Russia;273619910;UBNX8;In Service/Commission;356;Research Survey Vessel
8228012;GRIFON-3;Russia;273317850;;In Service/Commission;182;Tug
9402146;GRIFON-5;Russia;273311070;UGMI;In Service/Commission;188;Tug
9548847;GRIFON-7;Russia;273332320;UBNF9;In Service/Commission;188;Pusher Tug
8926066;GRIGORIY BURYA;Russia;273818700;UGJE;In Service/Commission;359;Fishing Vessel
8929848;GRIGORIY POTSIGOR;Russia;273436280;;In Service/Commission;187;Tug
9692466;GRIPHON-8;Russia;273370120;;In Service/Commission;188;Tug
9201279;GROMOBOY;Russia;273386140;UGKK;In Service/Commission;773;Fishing Vessel
8729286;GRUMANT;Russia;273425000;UCHO;In Service/Commission;117;Fishing Vessel
8933928;GRUZOVOY-7;Russia;;;In Service/Commission;163;Deck Cargo Ship
8683602;GS-245;Russia;273385520;UBBO6;In Service/Commission;235;Passenger/Ro-Ro Ship (Vehicles)
8728945;GULFSTREAM;Russia;;UEKD;In Service/Commission;270;Tug
8821371;GURD;Russia;273427690;UBER9;In Service/Commission;827;Fishing Vessel
8136489;HAFNAREY;Russia;273316660;UCFW;In Service/Commission;232;Fishing Vessel
8815243;HAMADORI;Russia;273350310;UADS;In Service/Commission;438;Passenger Ship
9037630;HARBIZ;Russia;273313640;UIUV;In Service/Commission;636;Fishing Vessel
9600140;HASAN;Russia;273359060;;In Service/Commission;188;Tug
9588677;HECTOR;Russia;273356080;UBSG6;In Service/Commission;498;Pusher Tug
9595022;HELIOS;Russia;273355080;UBSG5;In Service/Commission;498;Pusher Tug
8703804;HERCULES;Russia;273440440;UACD;In Service/Commission;875;Fishing Vessel
8703646;HERMES;Russia;273213190;UBAV8;In Service/Commission;905;Fishing Vessel
9033141;HIVACH;Russia;273212230;UEBH;In Service/Commission;670;Fishing Vessel
8933277;HOLDING;Russia;273319970;;In Service/Commission;106;Passenger Ship
8831572;HRIZOLIT;Russia;273847710;UDKF;In Service/Commission;759;Fish Carrier
7383011;HUGINN;Russia;273445430;UEIX;In Service/Commission;639;Fishing Vessel
9520390;ICEBERG;Russia;273334490;UBTK;In Service/Commission;784;Fishing Vessel
9824021;IGOR ILYIN;Russia;273391350;UIZD;In Service/Commission;761;Search & Rescue Vessel
8929939;ILMEN;Russia;;;In Service/Commission;191;Pollution Control Vessel
4725531;ILMEN;Russia;;;Launched;1000;Research Survey Vessel
8859768;IMATRA;Russia;273817700;UIOS;In Service/Commission;741;Fishing Vessel
8038077;IMPULS;Russia;273420500;UBIW;In Service/Commission;280;Offshore Support Vessel
8724262;INEY;Russia;273862100;UEVL;In Service/Commission;254;Fish Carrier
8882454;INGUR;Russia;273411410;UDHZ;In Service/Commission;680;Tug
8923208;INZHENER KOVRIGIN;Russia;;;In Service/Commission;226;Tug
8899952;INZHENER MARTYNOV;Russia;273842000;UAIL;In Service/Commission;122;Fishery Patrol Vessel
8899964;INZHENER MISAN;Russia;273443810;UHON;In Service/Commission;270;Tug
8678994;INZHENER PODLESNIY;Russia;273355700;UBSK6;In Service/Commission;859;Crane Vessel
8859770;INZHENER POPOVICH;Russia;273425520;;In Service/Commission;106;Passenger Ship
8728892;INZHENER SHILOVSKIY;Russia;273153100;UCUU;In Service/Commission;165;Pusher Tug
9688881;IRBIS;Russia;273372720;UBNM6;In Service/Commission;221;Tug
9100463;IRBIS;Russia;273372840;UBBN2;In Service/Commission;656;Fishing Vessel
9719628;IRBIS;Russia;273344790;UBDM5;In Service/Commission;398;Tug
8968844;IRIDA;Russia;273454040;UGHB;In Service/Commission;748;Fishing Vessel
9128714;IRKUT;Russia;273291780;UBVW5;In Service/Commission;395;Fishing Vessel
9482641;IRTYSH;Russia;273214490;UBDV2;Laid-Up;162;Tug
8724420;IRTYSH;Russia;273875400;UGCQ;In Service/Commission;677;Fish Carrier
8220527;IRVAS;Russia;273316510;UBWI;In Service/Commission;308;Fishing Vessel
8418681;ISKATEL-4;Russia;273186800;UHKA;In Service/Commission;878;Research Survey Vessel
8937118;ISSLEDOVATEL KASPIYA;Russia;273438200;UAHC;In Service/Commission;371;Fishing Vessel
8832033;IVAN MOSHLYAK;Russia;273810110;UHGU;In Service/Commission;918;Fishing Vessel
8606575;IVAN PETROV;Russia;273433010;UFNP;In Service/Commission;693;Research Survey Vessel
8724195;IZBERBASH;Russia;273434790;UGVK;In Service/Commission;187;Fish Carrier
9168104;IZUMRUD;Russia;273398890;UBEP9;In Service/Commission;840;Fishing Vessel
8934881;IZYSKATEL-1;Russia;273348710;UBSE6;In Service/Commission;426;Hopper, Motor
8721820;IZYSKATEL-2;Russia;273425760;UAIJ;In Service/Commission;743;Fishing Vessel
8809309;JAGUAR;Russia;273212150;UBCU3;In Service/Commission;568;Fishing Vessel
9004279;JUPITER;Russia;273841100;UCAG;In Service/Commission;651;Fishing Vessel
8726442;JURII SHVEZOV;Russia;;UDXB;In Service/Commission;258;Fishing Vessel
8826644;K. EMERALDA;Russia;273438500;UEDD;In Service/Commission;652;Fishing Vessel
8421535;KAI;Russia;273358620;UBFH3;In Service/Commission;233;Fishing Vessel
8423272;KALINOVKA;Russia;273854500;UCOE;In Service/Commission;754;Fishing Vessel
7832323;KALINOVSK;Russia;273824900;UEXQ;In Service/Commission;464;Fishing Vessel
8622311;KALITA;Russia;273312230;UBAH;In Service/Commission;369;General Cargo Ship
8615306;KALLISTA;Russia;273381970;UBHP9;In Service/Commission;999;Fishing Vessel
8864115;KAMCHADAL;Russia;273211660;UBMU7;In Service/Commission;308;General Cargo Ship
9101338;KAMCHATIMPEKS;Russia;273422800;UHZW;In Service/Commission;117;Fishing Vessel
9946805;KAMCHATKA-3;Russia;273295990;UBBX7;In Service/Commission;120;Passenger Ship
8834598;KANDAVA;Russia;273450060;UDXR;In Service/Commission;120;Fishing Vessel
9149146;KANIN;Russia;273321740;UBBL2;In Service/Commission;256;Tug
8878300;KAPA;Russia;273459950;UDNK;In Service/Commission;120;Fishing Vessel
9159880;KAPITAN ALBOV;Russia;273898300;UDBV;Laid-Up;117;Fishing Vessel
9429479;KAPITAN AVDYUKOV;Russia;273331920;UBSF6;In Service/Commission;441;Tug
8929305;KAPITAN BARINOV;Russia;273435300;UIZL;Laid-Up;398;Fishing Vessel
8724559;KAPITAN BELOMESTNOV;Russia;;UGFO;In Service/Commission;182;Tug
8349581;KAPITAN CHEREMNYKH;Russia;273396060;UBQP6;In Service/Commission;100;Pilot Vessel
8934996;KAPITAN DRABKIN;Russia;273351220;;In Service/Commission;369;Passenger/Ro-Ro Ship (Vehicles)
8897485;KAPITAN KAZANTSEV;Russia;273893200;UDAA;In Service/Commission;783;Fishing Vessel
7643887;KAPITAN LOBANOV;Russia;273247400;UATU;In Service/Commission;249;Fishing Vessel
9406207;KAPITAN MALYAKIN;Russia;273312240;UEAQ;In Service/Commission;244;Fishing Vessel
9361093;KAPITAN MUKOVNIKOV;Russia;273437190;UBWN;In Service/Commission;242;Fishing Vessel
9429481;KAPITAN POPOV;Russia;273335530;UFAQ;In Service/Commission;441;Tug
9513153;KAPITAN REUTOV;Russia;273335930;UBAG2;In Service/Commission;247;Tug
8842600;KAPITAN ROGOZIN;Russia;273510600;UAZN;In Service/Commission;828;Fishing Vessel
9230165;KAPITAN SHEBALKIN;Russia;273317480;UBOE2;In Service/Commission;389;Tug
8826553;KAPITAN SOKOLOV;Russia;273439640;UFEW;In Service/Commission;182;Pusher Tug
8923076;KAPITAN SYSHCHIKOV;Russia;;UDIJ;Laid-Up;179;Tug
8832071;KAPITAN ZDOR;Russia;273449670;UDXP;In Service/Commission;270;Tug
8722070;KARATAYEVO;Russia;273897700;UDFW;In Service/Commission;853;Fishing Vessel
8859859;KAREL;Russia;;;In Service/Commission;191;Water Tanker
8845729;KARPINSKIY;Russia;273847610;UECM;In Service/Commission;447;Fishing Vessel
7427051;KARTESH;Russia;273423940;UBXJ;In Service/Commission;189;Research Survey Vessel
8829206;KARYMSKIY;Russia;273840510;UEAP;In Service/Commission;448;Fishing Vessel
8860145;KASATKA;Russia;273428230;UDIT;In Service/Commission;117;Fishing Vessel
8515099;KASHIMA MARU No. 8;Russia;273445250;UEMF;In Service/Commission;825;Fishing Vessel
8423296;KASKAD;Russia;273336420;UBPF8;In Service/Commission;228;Tug
8722056;KATAYEVO;Russia;273814700;UGEX;In Service/Commission;738;Fishing Vessel
8727343;KATRAN;Russia;273440860;UERV;In Service/Commission;488;Fish Carrier
8928911;KATRAN;Russia;;UHZS;In Service/Commission;205;Pollution Control Vessel
9803443;KAYMAN;Russia;273394630;UBUP5;In Service/Commission;185;Tug
8717049;KAYUM;Russia;273210230;UEBR;In Service/Commission;704;Fishing Vessel
7740910;KAZAK;Russia;;UHSM;In Service/Commission;183;Research Survey Vessel
8829218;KAZAKEVICHI;Russia;273458740;UDZA;In Service/Commission;459;Fishing Vessel
9974345;KEMA;Russia;;;Keel Laid;351;Products Tanker
8859873;KEPROMAR;Russia;273454800;UASV;In Service/Commission;742;Fishing Vessel
8837942;KERN;Russia;273451700;UFVD;In Service/Commission;754;Research Survey Vessel
9828546;KHABAROVSK;Russia;273413660;UBTQ4;In Service/Commission;213;Pusher Tug
9761281;KHAKAS;Russia;273392670;UERD;In Service/Commission;299;Tug
8747290;KHANGAR;Russia;273384760;UBTO8;In Service/Commission;673;Fishing Vessel
9223215;KHASAN;Russia;273372520;UBMM5;In Service/Commission;577;Fishing Vessel
8876778;KHASANETS;Russia;273439470;UBVL4;In Service/Commission;187;Tug
8853910;KHOKHOL;Russia;273357310;UEUL;In Service/Commission;182;Tug
8627141;KHOKUTATSU MARU NO. 1;Russia;273449180;UBDK;In Service/Commission;237;Fishing Vessel
8859885;KIEV;Russia;273294400;UAHW;In Casualty Or Repairing;743;Fishing Vessel
9149158;KILDIN;Russia;273354290;UBOJ6;In Service/Commission;256;Tug
8725008;KIMBERLIT;Russia;273450700;UAIN;In Service/Commission;780;Drilling Ship
8800468;KINGUK;Russia;273415240;UBEQ2;In Service/Commission;979;Fishing Vessel
8423521;KIREEVKA;Russia;273564700;UGHG;In Service/Commission;808;Fishing Vessel
8722032;KIROVKA;Russia;273825600;UHIK;In Service/Commission;738;Fishing Vessel
8722020;KIROVO;Russia;273826220;UGTK;In Service/Commission;883;Fishing Vessel
9681792;KIRRIE;Russia;273337360;UIAY;In Service/Commission;246;Crew/Supply Vessel
8932027;KIRZHEN;Russia;273350840;UBBI9;In Service/Commission;111;Tug
8423533;KISHINEVKA;Russia;273895110;UGLX;In Service/Commission;691;Fishing Vessel
8315073;KISSYO MARU NO. 11;Russia;273445740;UDZG;In Service/Commission;231;Fishing Vessel
9801938;KIZHUCH;Russia;273399160;UBSP5;In Service/Commission;299;Tug
8722006;KNEVICHI;Russia;273829100;UGJR;In Service/Commission;763;Fishing Vessel
8821216;KNYAZ VLADIMIR;Russia;273415260;UBRQ8;In Service/Commission;671;Fishing Vessel
9047984;KOLGUEV;Russia;273397860;UFKJ;In Service/Commission;769;Fishing Vessel
8132811;KOLGUYEV;Russia;273421460;UGOK;In Service/Commission;187;Tug
9005285;KOMANDOR;Russia;273332830;UBZF3;In Service/Commission;851;Fishing Vessel
8721985;KOMARNO;Russia;273517900;UAZD;Laid-Up;936;Fishing Vessel
9101857;KOMBRIG MALCHENKO;Russia;273311330;UELF;In Service/Commission;683;Fish Carrier
9224269;KOMETA;Russia;273335630;UBYF3;In Service/Commission;217;Crew Boat
9287637;KOMETA;Russia;273440200;UBQT;In Service/Commission;189;Fishing Vessel
9424405;KOMMUNAR;Russia;273343610;UBRE6;In Service/Commission;188;Tug
9828534;KOMSOMOLSK-ON-AMUR;Russia;273414660;UBPQ5;In Service/Commission;213;Pusher Tug
8421274;KONDOR;Russia;273384570;UBHP3;In Service/Commission;545;Fish Carrier
9982952;KOPORYE;Russia;;;Keel Laid;583;Tank Cleaning Vessel
9982964;KOPPI;Russia;;;Keel Laid;583;Tank Cleaning Vessel
8929343;KOPPI;Russia;;;In Service/Commission;205;Pollution Control Vessel
8929331;KORABEL;Russia;;;In Service/Commission;187;Tug
8863056;KORAL STAR;Russia;273455240;UGPI;In Service/Commission;254;Fishing Vessel
8730156;KORALL;Russia;273439970;;In Service/Commission;106;Passenger Ship
9054030;KORF;Russia;273350490;UELB;In Service/Commission;723;Products Tanker
9133161;KORSAR;Russia;273894400;UCWE;In Service/Commission;718;Fish Carrier
8723086;KOSTROMA;Russia;273821300;UGKE;In Service/Commission;448;Fishing Vessel
7002368;KOTOJARVI;Russia;273440730;UEGW;In Service/Commission;563;Fishing Vessel
8845731;KOVDOR;Russia;273551000;UCUR;In Service/Commission;182;Tug
8928985;KOVSHOVYY;Russia;;;In Service/Commission;180;Tug
9275165;KOYDA 2;Russia;273331070;UBKK8;In Service/Commission;633;Fishing Vessel
8721698;KOZLOVO;Russia;273297100;UART;In Service/Commission;796;Fishing Vessel
8226686;KRAB;Russia;273454430;;In Service/Commission;235;Pollution Control Vessel
8724004;KRAKOVETS;Russia;273358360;;In Service/Commission;191;Pollution Control Vessel
8927931;KRASAVINO;Russia;273450070;UFBX;In Service/Commission;155;Deck Cargo Ship
8728294;KRASNOGORETS-12;Russia;;;In Service/Commission;159;Deck Cargo Ship
8728309;KRASNOGORETS-23;Russia;;;In Service/Commission;166;Deck Cargo Ship
8923777;KRASNOGORETS-8;Russia;;;In Service/Commission;157;Deck Cargo Ship
9183685;KRECHET;Russia;273351040;UIRD;In Service/Commission;613;Fishing Vessel
8330384;KREPYSH;Russia;;;In Service/Commission;187;Tug
8763397;KROT;Russia;;UFBW;In Service/Commission;153;Drilling Rig, jack up
8702707;KRYM;Russia;273376220;UBKM8;In Service/Commission;411;Fishing Vessel
8423583;KRYMSKIY;Russia;273195200;UDRA;In Service/Commission;676;Fish Carrier
9063586;KS2;Russia;273434000;UBGR6;In Service/Commission;172;Fishing Vessel
8515295;KUBAN STAR;Russia;273316460;UBNJ8;In Service/Commission;236;Tug
9100841;KULONGA;Russia;273554200;UGNW;In Service/Commission;119;Fishing Vessel
9458470;KURILGEO;Russia;273345120;UBVE6;In Service/Commission;257;Landing Craft
9183037;KURILSKOYE OZERO;Russia;273334010;UBBF9;In Service/Commission;993;Refrigerated Cargo Ship
9629782;KUZBASS;Russia;273353280;UBAJ7;In Service/Commission;294;Tug
8928662;LADOGA;Russia;;;In Service/Commission;205;Pollution Control Vessel
8724652;LAKHTA;Russia;;;In Service/Commission;235;Pollution Control Vessel
9586227;LAMNALCO BERKUT;Russia;273359720;UBGH3;Laid-Up;186;Tug
9586241;LAMNALCO FREGAT;Russia;273357720;UBFH9;Laid-Up;186;Tug
